レセプト電算処理システムコード,薬価基準収載医薬品コード,レセプト電算処理システム医薬品名
610406053,2171014N4028,エマベリンＬカプセル５ｍｇ
610406054,1124026C1018,エマンダキシン細粒　１０％
610406054,1124026C1034,エマンダキシン細粒　１０％
610406055,1124026F1014,エマンダキシン錠５０ｍｇ
610406055,1124026F1030,エマンダキシン錠５０ｍｇ
610406056,2252006F1011,エミテックス錠　２．５ｍｇ
610406056,2252006F1046,エミテックス錠　２．５ｍｇ
610406057,2252006Q1039,エミテックスシロップ　０．０５％
610406058,2339263B1026,ＭＭＤ散
610406058,2339263B1034,ＭＭＤ散
610406059,6132005E1038,エリカナールＬ顆粒　３７５ｍｇ
610406060,6132005M1148,エリカナールカプセル　２５０ｍｇ
610406061,6132005C1134,エリカナール細粒　１００ｍｇ
610406061,6132005C1223,エリカナール細粒　１００ｍｇ
610406062,2149011N1032,Ｌーカシムテンカプセル　５ｍｇ
610406063,2149011N2039,Ｌーカシムテンカプセル　１５ｍｇ
610406064,2590100X1031,エルサメット錠
610406065,2459100F1030,エンペラシン錠
610406066,1249009D1014,エンボイ顆粒　１０％
610406066,1249009D1057,エンボイ顆粒　１０％
610406066,1249009D1073,エンボイ顆粒　１０％
610406067,1149026F2010,オキサチリン錠　２００ｍｇ
610406067,1149026F2079,オキサチリン錠　２００ｍｇ
610406069,1149026F2010,オキシアシドン錠　２００ｍｇ
610406069,1149026F2095,オキシアシドン錠　２００ｍｇ
610406070,1149026F2010,オキネスジン錠２００ｍｇ
610406070,1149026F2109,オキネスジン錠２００ｍｇ
610406072,1149026F2010,オセファジン錠　２００ｍｇ
610406072,1149026F2117,オセファジン錠　２００ｍｇ
610406073,3112004M1015,オタノールカプセル　０．２５μｇ
610406073,3112004M1040,オタノールカプセル　０．２５μｇ
610406074,3112004M2011,オタノールカプセル　０．５μｇ
610406074,3112004M2046,オタノールカプセル　０．５μｇ
610406075,2329008C1070,オーネスミン細粒　９０％
610406076,2129003M2010,オルゾロンカプセル　１００ｍｇ
610406076,2129003M2036,オルゾロンカプセル　１００ｍｇ
610406077,1149026F1013,オロサルジン錠　１００ｍｇ
610406077,1149026F1048,オロサルジン錠　１００ｍｇ
610406078,1149026F2010,オロサルジン錠　２００ｍｇ
610406078,1149026F2125,オロサルジン錠　２００ｍｇ
610406079,2325003B2029,ガスター散２％
610406082,2491001F3118,カリンダロン錠　５０国際単位
610406082,2491001F6010,カリンダロン錠　５０国際単位
610406083,3112004M1015,カルシオロールカプセル　０．２５μｇ
610406083,3112004M1058,カルシオロールカプセル　０．２５μｇ
610406084,3112004M2011,カルシオロールカプセル　０．５μｇ
610406084,3112004M2054,カルシオロールカプセル　０．５μｇ
610406085,3112004M1066,カルシタロールカプセル０．２５　０．２５μｇ
610406085,3112004M1015,カルシタロールカプセル０．２５　０．２５μｇ
610406086,3112004M2011,カルシタロールカプセル０．５　０．５μｇ
610406088,2491001F3126,カルタゴン錠　５０国際単位
610406089,3112004F1024,カルデミン錠０．２５μｇ
610406090,3112004M1015,カルトールカプセル　０．２５μｇ
610406090,3112004M1074,カルトールカプセル　０．２５μｇ
610406091,3112004M2011,カルトールカプセル　０．５μｇ
610406091,3112004M2070,カルトールカプセル　０．５μｇ
610406094,3112004M1015,カルミサールカプセル　０．２５μｇ
610406095,3112004M2011,カルミサールカプセル　０．５μｇ
610406095,3112004M2089,カルミサールカプセル　０．５μｇ
610406098,1149026F2010,キサプジン錠　２００ｍｇ
610406098,1149026F2133,キサプジン錠　２００ｍｇ
610406100,1149026F2010,グッセリン錠　２００ｍｇ
610406101,2171014G2174,クノラミンＬ錠２０ｍｇ
610406101,2171014G2018,クノラミンＬ錠２０ｍｇ
610406103,2491001F3142,クライスリン錠　５０国際単位
610406104,1124026C1018,クラソパン細粒１０％
610406104,1124026C1042,クラソパン細粒１０％
610406105,1124026F1014,クラソパン錠５０ｍｇ
610406105,1124026F1049,クラソパン錠５０ｍｇ
610406106,1124026F1014,グランパム錠　５０ｍｇ
610406106,1124026F1057,グランパム錠　５０ｍｇ
610406106,1124026F1219,グランパム錠　５０ｍｇ
610406107,1149015F2011,クリロレール錠１００ｍｇ
610406107,1149015F2097,クリロレール錠１００ｍｇ
610406108,2183001F1095,クリーンファイブ錠　２００ｍｇ
610406110,4420001F1031,グレリース錠　３ｍｇ
610406111,2491001F3150,クレルモン錠　５０国際単位
610406112,2459100F1049,クロコデミン錠
610406112,2459100F1138,クロコデミン錠
610406113,3323001C3021,経口用トロンビン細粒　５，０００単位０．５ｇ
610406115,4490003M1018,ケトテンカプセル　１ｍｇ
610406116,4490003R1015,ケトテンドライシロップ　０．１％
610406119,2123014F2015,コウラセシール錠　１０ｍｇ
610406119,2123014F2112,コウラセシール錠　１０ｍｇ
610406119,2123014F2171,コウラセシール錠　１０ｍｇ
610406120,2590100X1040,コスモベック錠
610406122,1124026F1014,コバンダキシン錠　５０ｍｇ
610406122,1124026F1065,コバンダキシン錠　５０ｍｇ
610406123,2316019B1032,コレポリーＲ散
610406124,2123015F2010,サイタミン錠　６０ｍｇ
610406125,2491001F3177,サイモチンＳ錠　５０国際単位
610406126,2491001F3185,サークレチンＳ錠　５０国際単位
610406129,1180107D1034,サラザック顆粒
610406130,2249104S1030,サリパラ・コデイン液
610406131,2149019N1055,サリペックスＬＡ２０ｍｇ
610406131,2149019N1179,サリペックスＬＡ２０ｍｇ
610406132,2149019N2060,サリペックスＬＡ４０ｍｇ
610406132,2149019N2183,サリペックスＬＡ４０ｍｇ
610406133,1149026F2010,サルボナート錠　２００ｍｇ
610406134,3112004M1015,シオプリカートカプセル　０．２５μｇ
610406135,3112004M2011,シオプリカートカプセル　０．５μｇ
610406136,2233002C1038,Ｃーチステン細粒　５０％
610406138,2325001C2050,シメチパール細粒４０％
610406139,2325001F2013,シメユンジン錠４００ｍｇ
610406140,2325001F1017,シメロン　２００ｍｇ
610406140,2325001F1300,シメロン　２００ｍｇ
610406141,4490004F2010,シュウビトル錠　１ｍｇ
610406141,4490004F2109,シュウビトル錠　１ｍｇ
610406142,2325001F1017,シルカーゼット錠　２００ｍｇ
610406142,2325001F1319,シルカーゼット錠　２００ｍｇ
610406144,3399001F1015,ジルペンダー錠　１００ｍｇ
610406144,3399001F1180,ジルペンダー錠　１００ｍｇ
610406150,1149025F2040,スリメン錠２００ｍｇ
610406151,3952001F1070,スレプターゼ錠
610406152,2251001D1037,スロービッド顆粒　２０％
610406152,2251001D1053,スロービッド顆粒　２０％
610406153,6132001R2038,セアプロンドライシロップ　２５０ｍｇ
610406154,2399006C1017,セエルミート細粒　２０％
610406154,2399006C1050,セエルミート細粒　２０％
610406155,2399006F1013,セエルミート錠　１００ｍｇ
610406155,2399006F1323,セエルミート錠　１００ｍｇ
610406157,2123014F1019,セオノマール錠　５ｍｇ
610406157,2123014F1035,セオノマール錠　５ｍｇ
610406158,2123014F2015,セオノマール錠　１０ｍｇ
610406158,2123014F2120,セオノマール錠　１０ｍｇ
610406159,3952001F1089,セオルナーゼ錠
610406160,2239001F1017,セルマキール錠　１５ｍｇ
610406160,2239001F1378,セルマキール錠　１５ｍｇ
610406160,2239001F1670,セルマキール錠　１５ｍｇ
610406161,6132005C2025,セクロダン細粒　２００ｍｇ
610406162,6132005M1156,セファクロルカプセル２５０「マルコ」　２５０ｍｇ
610406163,6132005C1150,セファクロル細粒小児用１００ｍｇ（ツルハラ）
610406164,6132005C1169,セファクロル細粒「マルコ」　１００ｍｇ
610406164,6132005C1207,セファクロル細粒「マルコ」　１００ｍｇ
610406165,1180107D1042,セラビナ顆粒
610406165,1180107D1115,セラピナ顆粒
610406167,2149010F1017,セレクナート錠２０ｍｇ
610406167,2149010F1114,セレクナート錠２０ｍｇ
610406168,2149010F2013,セレクナート錠４０ｍｇ
610406168,2149010F2170,セレクナート錠４０ｍｇ
610406169,2459100F1057,セレスターナ錠
610406169,2459100F1154,セレスターナ錠
610406170,2329011F1028,ソロン錠　５０ｍｇ
610406171,6132001R2046,タイセファコールドライシロップ　２５０ｍｇ
610406172,6290100D1061,ダイフェン顆粒
610406172,6290100D1070,ダイフェン顆粒
610406174,4291003F2038,タスオミンＤ錠　２０ｍｇ
610406176,2239001F1017,タントール錠　１５ｍｇ
610406177,1149025F2058,チオガム錠　２００ｍｇ
610406177,1149025F2074,チオガム錠　２００ｍｇ
610406178,2321001F1034,チオスペン錠　２５ｍｇ
610406179,2325001C2068,チーカプト細粒　４０％
610406179,2325001C2084,チーカプト細粒４０　４０％
610406182,2129003M1013,チルミメールカプセル５０ｍｇ
610406182,2129003M1030,チルミメールカプセル５０ｍｇ
610406183,2129003M2010,チルミメールカプセル１００ｍｇ
610406183,2129003M2044,チルミメールカプセル１００ｍｇ
610406184,3952001F1097,ツインナーゼ内服錠
610406185,2329104C1100,ツルピネート細粒
610406186,2259002F1057,ツロブリン錠　１ｍｇ
610406187,2259002R1045,ツロブリンドライシロップ　０．１％
610406191,2149015F1036,デタトシン錠　０．５ｍｇ
610406192,2399006C1017,テフメチン細粒　２０％
610406192,2399006C1068,テフメチン細粒　２０％
610406193,5100133A1011,テンマ末
610406193,5100133A1054,花扇テンマ末Ｋ
610406193,5100133A1046,高砂テンマ末Ｍ
610406196,6132005M1164,トキクロルカプセル　２５０ｍｇ
610406197,6132005C1177,トキクロル細粒　１００ｍｇ
610406199,2259006F1039,トニール錠　１０μｇ
610406200,1124026F1014,トフィス錠　５０ｍｇ
610406200,1124026F1081,トフィス錠　５０ｍｇ
610406202,1124026F1014,トフィール錠　５０ｍｇ
610406202,1124026F1103,トフィール錠　５０ｍｇ
610406203,1124026F1014,トフィルシン錠　５０ｍｇ
610406203,1124026F1111,トフィルシン錠　５０ｍｇ
610406207,3112004M1015,トルシトリンカプセル　０．２５μｇ
610406207,3112004M1104,トルシトリンカプセル　０．２５μｇ
610406208,3112004M2011,トルシトリンカプセル　０．５μｇ
610406208,3112004M2100,トルシトリンカプセル　０．５μｇ
610406209,1124026F1014,トルバナシン錠　５０ｍｇ
610406209,1124026F1120,トルバナシン錠　５０ｍｇ
610406210,2329015F2014,トロキシン錠　１００ｍｇ
610406210,2329015F2049,トロキシン錠　１００ｍｇ
610406210,2329015F2138,トロキシン錠　１００ｍｇ
610406211,1124026F1014,トロンヘイム錠　５０ｍｇ
610406211,1124026F1138,トロンヘイム錠　５０ｍｇ
610406211,1124026F1235,トロンヘイム錠　５０ｍｇ
610406213,1180107D1050,トーワチーム顆粒
610406214,2123015F1013,ナオドリール錠３０ｍｇ
610406216,2149012F1040,ナシンドレン錠　１ｍｇ
610406217,2123015F2010,ナドル錠　６０ｍｇ
610406218,2171014G1143,ニフェラートＬ錠　１０ｍｇ
610406219,2171014G2182,ニフェラートＬ錠　２０ｍｇ
610406219,2171014G2018,ニフェラートＬ錠２０　２０ｍｇ
610406220,3399001F1015,ネオピジン錠　１００ｍｇ
610406221,2239001F1017,ノンタス錠　１５ｍｇ
610406222,1124026F1146,バイダキシン錠　５０ｍｇ
610406222,1124026F1243,バイダキシン錠　５０ｍｇ
610406223,1124026F1014,ハイミジン錠　５０ｍｇ
610406223,1124026F1154,ハイミジン錠　５０ｍｇ
610406223,1124026F1227,ハイミジン錠　５０ｍｇ
610406224,1169101F1081,パーキストン錠
610406224,1169101F1103,パーキストン錠
610406225,2491001F3193,バスドリンＦ錠　５０国際単位
610406226,1143010F1043,バッサミン錠
610406227,5900001A1025,花扇加工ブシ末Ｋ
610406229,1149026F2010,パピルジン錠２００ｍｇ
610406229,1149026F2168,パピルジン錠２００ｍｇ
610406230,6132001R2054,パラントシンドライシロップ　２５０ｍｇ
610406231,7212029X1023,バリトゲンＨＤ　９８．６％
610406232,7212022A1037,バリトップＨＤ　９９％
610406233,2149019N2078,パルペジノンＬＡ４０ｍｇ
610406234,2590100X1058,ハルーリン錠
610406235,2171010F3037,ピロアン錠　１００ｍｇ
610406236,1180109F1026,ピーエイ錠
610406236,1180109F1034,ピーエイ錠
610406244,2459100F1065,ヒスタブロック錠
610406245,3179107F1033,ビタダン錠
610406247,3949101A1041,ピナロック
610406247,3949101A1106,ピナロック
610406248,3949101F1030,ピナロック錠
610406249,4490004F2010,ビフェルチン錠　１ｍｇ
610406249,4490004F2133,ビフェルチン錠　１ｍｇ
610406251,2459100F1073,ビヘルス錠
610406252,3112004M1015,ヒポテリオールカプセル　０．２５μｇ
610406252,3112004M1112,ヒポテリオールカプセル　０．２５μｇ
610406253,3112004M2011,ヒポテリオールカプセル　０．５μｇ
610406253,3112004M2119,ヒポテリオールカプセル　０．５μｇ
610406254,2189008F1015,ピヨコール錠　２５０ｍｇ
610406254,2189008F1279,ピヨコール錠　２５０ｍｇ
610406257,3961007F1085,ファルリンド錠　４０ｍｇ
610406259,3222013F1050,フェニレン錠　鉄５０ｍｇ
610406260,3222013F1068,フェネルミン錠　鉄５０ｍｇ
610406261,3222013F1076,フェレダイム錠　鉄５０ｍｇ
610406262,3222013F1084,フェロチーム錠　鉄５０ｍｇ
610406264,3222013F1092,フェロフィール錠　鉄５０ｍｇ
610406266,1179028F2034,プリペリドール錠　３ｍｇ
610406267,1179028C1031,プリンドリル細粒　１％
610406268,1179028F2042,プリンドリル錠　３ｍｇ
610406269,1179028F3030,プリンドリル錠　６ｍｇ
610406271,2590004F1010,フレムーブ錠　５ｍｇ
610406273,2491001F3207,プロモチンＳ錠　５０国際単位
610406274,2123015F1013,ベーゲン錠３０ｍｇ
610406275,4413004F1162,ベナンザール錠　３ｍｇ
610406276,3961007F1093,ベネラクサー錠　４０ｍｇ
610406277,4240001M1059,ベプシドＳ　２５ｍｇ
610406278,4240001M2055,ベプシドＳ　５０ｍｇ
610406280,4490004F2010,ベルスタチン錠　１ｍｇ
610406280,4490004F2141,ベルスタチン錠　１ｍｇ
610406281,2171010F3045,ペルチスタン錠　１００ｍｇ
610406281,2171010F3010,ペルチスタン錠１００　１００ｍｇ
610406284,2171014G1151,ヘルラートＬ錠　１０ｍｇ
610406286,2129003M2010,ポエルテンカプセル　１００ｍｇ
610406286,2129003M2060,ポエルテンカプセル　１００ｍｇ
610406287,1180107D1069,ホグス顆粒
610406288,3112004M1015,ポスロットルＳカプセル　０．２５μｇ
610406288,3112004M1120,ポスロットルＳカプセル　０．２５μｇ
610406289,3112004M2011,ポスロットルＳカプセル　０．５μｇ
610406289,3112004M2127,ポスロットルＳカプセル　０．５μｇ
610406290,2252006R2022,ポルボノールドライシロップ０．５％
610406291,1124026C1018,マイロニン細粒　１０％
610406292,1124026F1014,マイロニン錠　５０ｍｇ
610406292,1124026F1162,マイロニン錠　５０ｍｇ
610406292,1124026F1260,マイロニン錠　５０ｍｇ
610406293,2339179B1037,マナミンＴＭ散
610406296,1180107D1077,マリキナ顆粒
610406296,1180107D1158,マリキナ顆粒
610406297,2329013F1043,ミタプリド錠　０．５ｍｇ
610406300,1124007F2131,ミンザイン錠　０．２５ｍｇ
610406300,1124007F2166,ミンザイン錠　０．２５ｍｇ
610406301,2239001S1066,ムコアストマリ液　０．７５％
610406301,2239001S1015,ムコアストマリ液　０．７５％
610406303,2233002S1024,ムコダインＫ　１０％
610406304,2129003M1013,メキシバールカプセル　５０ｍｇ
610406304,2129003M1056,メキシバールカプセル　５０ｍｇ
610406305,2129003M2010,メキシバールカプセル　１００ｍｇ
610406305,2129003M2079,メキシバールカプセル　１００ｍｇ
610406306,2129003F1022,メキシレート錠　５０ｍｇ
610406307,2129003F2029,メキシレート錠　１００ｍｇ
610406308,2129003M1013,メキラチンカプセル　５０ｍｇ
610406308,2129003M1064,メキラチンカプセル　５０ｍｇ
610406309,2129003M2010,メキラチンカプセル　１００ｍｇ
610406309,2129003M2087,メキラチンカプセル　１００ｍｇ
610406310,2149010F2013,メトラスター錠　４０ｍｇ
610406311,2129003M1013,メトレキシンカプセル５０ｍｇ
610406311,2129003M1072,メトレキシンカプセル５０ｍｇ
610406312,2129003M2010,メトレキシンカプセル１００ｍｇ
610406313,1124026F1014,メノポサム錠　５０ｍｇ
610406315,4490003M1018,メラボンカプセル　１ｍｇ
610406316,4490003R1015,メラボンドライシロップ　０．１％
610406319,2129003M1013,メルデストカプセル５０ｍｇ
610406319,2129003M1099,メルデストカプセル５０ｍｇ
610406320,2129003M2010,メルデストカプセル１００ｍｇ
610406320,2129003M2117,メルデストカプセル１００ｍｇ
610406323,2129003M1013,メレートカプセル　５０ｍｇ
610406323,2129003M1110,メレートカプセル　５０ｍｇ
610406324,2129003M2010,メレートカプセル　１００ｍｇ
610406324,2129003M2133,メレートカプセル　１００ｍｇ
610406325,1169005F1138,メーレーン錠　２．５ｍｇ
610406325,1169005F1014,メーレーン錠　２．５ｍｇ
610406326,1179025F1166,モーズン錠０．５ｍｇ
610406327,2129003M1013,モバレーンカプセル５０ｍｇ
610406327,2129003M1129,モバレーンカプセル５０ｍｇ
610406328,2252006Q1047,モンブルトシロップ　０．０５％
610406328,2252006Q1071,モンブルトシロップ　０．０５％
610406329,3327002F1126,ヨウキサミン錠　２５０ｍｇ
610406329,3327002F1169,ヨウキサミン錠　２５０ｍｇ
610406330,1249007F2110,ヨウパノン錠　８０ｍｇ
610406331,4490004D1012,ヨシノチン顆粒　０．２％
610406332,4490004F2010,ヨシノチン錠　１ｍｇ
610406332,4490004F2150,ヨシノチン錠　１ｍｇ
610406333,2359005F1102,ラキセード錠　２．５ｍｇ
610406334,4490004F2010,ラスプジン錠　１ｍｇ
610406334,4490004F2168,ラスプジン錠　１ｍｇ
610406335,2316019B1024,ラックビーＲ
610406336,2325001F1017,ラフセジン錠　２００ｍｇ
610406336,2325001F1327,ラフセジン錠　２００ｍｇ
610406338,6149001R2027,リカマイシンドライシロップ２００
610406339,4420001F1040,リザスト錠　３ｍｇ
610406340,2123014F2015,リステリア錠　１０ｍｇ
610406341,3112004M1015,リストールカプセル　０．２５μｇ
610406341,3112004M1139,リストールカプセル　０．２５μｇ
610406342,3112004M2011,リストールカプセル　０．５μｇ
610406342,3112004M2135,リストールカプセル　０．５μｇ
610406343,2319100F1048,リーダイＡ錠
610406344,2339189B1030,リーダイＭ末
610406345,1179017F1030,リチオマール錠１００ｍｇ
610406346,1179017F2036,リチオマール錠２００ｍｇ
610406347,2590004F1010,リトドリン錠「科薬」　５ｍｇ
610406348,2590004F1010,リトドール錠　５ｍｇ
610406349,2590004F1010,リトメリン錠　５ｍｇ
610406349,2590004F1133,リトメリン錠　５ｍｇ
610406350,3999001Q2040,リフォロースシロップ　６５％
610406351,1180107D1085,リベラル顆粒
610406352,2590004F1010,リメトラーク錠　５ｍｇ
610406352,2590004F1141,リメトラーク錠　５ｍｇ
610406353,2399006C1017,リーメント細粒　２０％
610406355,2590004F1010,リンドルフ錠　５ｍｇ
610406355,2590004F1150,リンドルフ錠　５ｍｇ
610406355,2590004F1214,リンドルフ錠　５ｍｇ
610406356,1124026F1014,リンブルグ錠　５０ｍｇ
610406356,1124026F1189,リンブルグ錠　５０ｍｇ
610406357,3961007F1107,ルイメニア錠　４０ｍｇ
610406357,3961007F1158,ルイメニア錠　４０ｍｇ
610406358,2314002F2049,ルターゼン　１００ｍｇ
610406359,2590004F1168,ルテオニン錠　５ｍｇ
610406359,2590004F1273,ルテオニン錠　５ｍｇ
610406360,1179028C1040,ルナプロン細粒　１％
610406360,1179028C1074,ルナプロン細粒　１％
610406361,1179028F2050,ルナプロン錠３ｍｇ
610406362,1179028F3049,ルナプロン錠６ｍｇ
610406363,2233002C1046,ルボラボン細粒　５０％
610406364,3112004M1015,レオビノールカプセル　０．２５μｇ
610406364,3112004M1147,レオビノールカプセル　０．２５μｇ
610406365,3112004M2011,レオビノールカプセル　０．５μｇ
610406365,3112004M2143,レオビノールカプセル　０．５μｇ
610406366,2590004F1010,レキサビン錠　５ｍｇ
610406367,1124027C1020,レスタス細粒　０．２％
610406368,2329107D1053,レスボリックス顆粒
610406368,2329107D1100,レスポリックス顆粒
610406369,1180102Q1050,レパロンシロップ
610406370,1169101F1090,レプリントン錠１００ｍｇ
610406372,2319001R1024,ロペカルド小児用ドライシロップ　０．０５％
610406373,2319001C1013,ロペラニール細粒小児用　０．０５％
610406373,2319001C1056,ロペラニール細粒小児用　０．０５％
610406378,8114004G3020,ＭＳコンチン錠６０ｍｇ
610406379,5100133A1011,テンマ末ＹＤ
610406380,2119006M1029,アカルディカプセル　１．２５ｍｇ
610406381,2119006M2025,アカルディカプセル　２．５ｍｇ
610406382,1149032F1035,オステラック錠　１００ｍｇ
610406383,1149032F2031,オステラック錠　２００ｍｇ
610406384,1149033F1021,ジソペイン錠　７５ｍｇ
610406385,3919007M1021,セロシオンカプセル　１０ｍｇ
610406386,6250002D1024,ゾビラックス顆粒４０％
610406387,1149032F1027,ハイペン錠１００ｍｇ
610406388,1149032F2023,ハイペン錠２００ｍｇ
610406389,2329027D1028,プロマック顆粒１５％
610406390,3969004F1020,ベイスン錠　０．２ｍｇ
610406391,3969004F2027,ベイスン錠　０．３ｍｇ
610406392,1169008F1026,ペルマックス錠５０μｇ
610406393,1169008F2022,ペルマックス錠２５０μｇ
610406394,3929005M1029,メタライト２５０カプセル　２５０ｍｇ
610406395,4291005F1022,オダイン錠　１２５ｍｇ
610406396,2119007D1023,タナドーパ顆粒　７５％
610406397,1190010F1027,テルロン錠　０．５ｍｇ
610406398,2129012M1020,ピメノールカプセル５０ｍｇ
610406399,2129012M2027,ピメノールカプセル１００ｍｇ
610406400,2171010N1020,ペルサンチンーＬカプセル　１５０ｍｇ
610406401,4490011F2028,アレギサール錠５ｍｇ
610406402,1145005M2026,インフリーＳカプセル２００ｍｇ
610406403,2431004B1020,チラーヂンＳ散　０．０１％
610406403,2431004B1038,チラーヂンＳ散　０．０１％
610406404,7212030S1029,バリトップＣＴ　１．５％３００ｍＬ
610406405,2183005G1030,ベザリップ錠　２００ｍｇ
610406405,2183005G1242,ベザリップ錠　２００ｍｇ
610406406,4490011F2036,ペミラストン錠５ｍｇ
610406407,2251001G1025,ユニコン錠　２００ｍｇ
610406408,2251001G2021,ユニコン錠　４００ｍｇ
610406409,2251001G1033,ユニフィル錠　２００ｍｇ
610406410,2251001G2030,ユニフィル錠　４００ｍｇ
610407001,4490016M1023,アイピーディカプセル　５０ｍｇ
610407002,4490016M2020,アイピーディカプセル　１００ｍｇ
610407003,2149035F1025,スプレンジール錠２．５ｍｇ
610407004,2149035F2021,スプレンジール錠５ｍｇ
610407005,2149015G1023,デタントールＲ錠３ｍｇ
610407006,2149015G2020,デタントールＲ錠６ｍｇ
610407007,4490015F1020,ヒスマナール錠５ｍｇ
610407008,4490015F2026,ヒスマナール錠１０ｍｇ
610407009,4291006M1026,ベサノイドカプセル　１０ｍｇ
610407010,2149035F1033,ムノバール２．５ｍｇ錠
610407011,2149035F2030,ムノバール５ｍｇ錠
610407017,4490017M1028,オノンカプセル　１１２．５ｍｇ
610407019,2149036F1020,カルバン錠　２５ｍｇ
610407020,2149036F2026,カルバン錠　５０ｍｇ
610407021,2149036F3022,カルバン錠　１００ｍｇ
610407022,4291007F1021,フェアストン錠　４０ｍｇ
610407023,4291007F2028,フェアストン錠　６０ｍｇ
610407025,3259114S1026,エンシュア・Ｈ
610407026,2329025M2025,カムリードカプセル　１２．５μｇ
610407027,2251001R1026,テオドールドライシロップ　２０％
610407028,2183005G2028,ベザトールＳＲ錠１００ｍｇ
610407029,2183005G2036,ベザリップ１００ｍｇ錠
610407029,2183005G2095,ベザリップ１００ｍｇ錠
610407030,6241005F1011,アスデュフェ錠１００ｍｇ
610407030,6241005F1038,アスデュフェ錠１００ｍｇ
610407031,1149011F1068,アップノン錠　４０ｍｇ
610407032,2323001D3057,アテネレン顆粒１％
610407032,2323001D3014,アテネレン顆粒１％
610407033,2329002F2106,アテネントイン錠　１００ｍｇ
610407034,4490004D1012,アドメッセン顆粒０．２％
610407034,4490004D1055,アドメッセン顆粒０．２％
610407035,2329015C1038,アニトラール細粒　２０％
610407035,2329015C1011,アニトラール細粒　２０％
610407036,2329015F2065,アニトラール錠１００ｍｇ
610407036,2329015F2014,アニトラール錠１００ｍｇ
610407037,1141007C1032,アニルーメ細粒　２０％
610407038,1149026F2010,アモリンタン錠　２００ｍｇ
610407038,1149026F2176,アモリンタン錠　２００ｍｇ
610407039,2491001F3215,Ｓーカルジー錠　５０国際単位
610407043,2329004M1086,エルケーカプセル　２００ｍｇ
610407044,6132005N1038,Ｌーシーシーエルカプセル　１８７．５ｍｇ
610407045,2329002C2037,エルミー細粒２５％
610407046,2123011F2011,オリジノール錠　５０ｍｇ
610407050,3999001Q3020,カロリールゼリー　４０．４９６％
610407050,3999001Q3046,カロリールゼリー　４０．４９６％
610407051,6241005F1011,キサフロール錠　１００ｍｇ
610407052,6241005F2018,キサフロール錠　２００ｍｇ
