管理番号,レセ電算名称,レセ電算コード,診療報酬点数表コード（Kコード）,ICD9CMコードの複数対応,ICD9CMコード1,ICD9CMコード2,ICD9CMコード3,ICD9CMコード4,ICD9CMコード5,細分類の有無,9CM用細分類数,9CM用細分類1,9CM用細分類2,9CM用細分類3,9CM用細分類4,9CM用細分類5,9CM用細分類6,9CM用細分類7,9CM用細分類8,9CM用細分類9,9CM用細分類10,9CM用細分類11,9CM用細分類12,9CM用細分類13,9CM用細分類14,9CM用細分類15,r_9CM_Ver,予備項目1,変更区分
35160,熱傷処置（１００ｃｍ２未満）,140032010,J001-00,,8659,,,,,,,,,,,,,,,,,,,,,,20080331,,
35161,熱傷処置（１００ｃｍ２以上５００ｃｍ２未満）,140032110,J001-00,,8659,,,,,,,,,,,,,,,,,,,,,,20080331,,
35162,熱傷処置（５００ｃｍ２以上３０００ｃｍ２未満）,140032210,J001-00,,8659,,,,,,,,,,,,,,,,,,,,,,20080331,,
35167,電撃傷処置（１００ｃｍ２未満）,140034830,J001-00,,8659,,,,,,,,,,,,,,,,,,,,,,20080331,,
35168,電撃傷処置（１００ｃｍ２以上５００ｃｍ２未満）,140034930,J001-00,,8659,,,,,,,,,,,,,,,,,,,,,,20080331,,
35169,電撃傷処置（５００ｃｍ２以上３０００ｃｍ２未満）,140035030,J001-00,,8659,,,,,,,,,,,,,,,,,,,,,,20080331,,
35170,電撃傷処置（３０００ｃｍ２以上６０００ｃｍ２未満）,140035130,J001-00,,8659,,,,,,,,,,,,,,,,,,,,,,20080331,,
35171,電撃傷処置（６０００ｃｍ２以上）,140035230,J001-00,,8659,,,,,,,,,,,,,,,,,,,,,,20080331,,
35172,薬傷処置（１００ｃｍ２未満）,140035430,J001-00,,8659,,,,,,,,,,,,,,,,,,,,,,20080331,,
35173,薬傷処置（１００ｃｍ２以上５００ｃｍ２未満）,140035530,J001-00,,8659,,,,,,,,,,,,,,,,,,,,,,20080331,,
35174,薬傷処置（５００ｃｍ２以上３０００ｃｍ２未満）,140035630,J001-00,,8659,,,,,,,,,,,,,,,,,,,,,,20080331,,
35175,薬傷処置（３０００ｃｍ２以上６０００ｃｍ２未満）,140035730,J001-00,,8659,,,,,,,,,,,,,,,,,,,,,,20080331,,
35176,薬傷処置（６０００ｃｍ２以上）,140035830,J001-00,,8659,,,,,,,,,,,,,,,,,,,,,,20080331,,
35177,凍傷処置（１００ｃｍ２未満）,140036030,J001-00,,8659,,,,,,,,,,,,,,,,,,,,,,20080331,,
35178,凍傷処置（１００ｃｍ２以上５００ｃｍ２未満）,140036130,J001-00,,8659,,,,,,,,,,,,,,,,,,,,,,20080831,,
35179,凍傷処置（５００ｃｍ２以上３０００ｃｍ２未満）,140036230,J001-00,,8659,,,,,,,,,,,,,,,,,,,,,,20080331,,
35180,凍傷処置（３０００ｃｍ２以上６０００ｃｍ２未満）,140036330,J001-00,,8659,,,,,,,,,,,,,,,,,,,,,,20080331,,
35181,凍傷処置（６０００ｃｍ２以上）,140036430,J001-00,,8659,,,,,,,,,,,,,,,,,,,,,,20080331,,
35182,熱傷処置（３０００ｃｍ２以上６０００ｃｍ２未満）,140036510,J001-00,,8659,,,,,,,,,,,,,,,,,,,,,,20080331,,
35183,熱傷処置（６０００ｃｍ２以上）,140036610,J001-00,,8659,,,,,,,,,,,,,,,,,,,,,,20080331,,
33754,肋骨骨折固定術の２回目以降の絆創膏貼用,150017550,J001-03,,9357,,,,,,,,,,,,,,,,,,,,,,20020401,,
33755,絆創膏固定術,150017850,J001-02,,9357,,,,,,,,,,,,,,,,,,,,,,20020401,,
32886,鎖骨骨折固定術,150017650,J001-03,,7919,,,,,1.0,1.0,32938.0,,,,,,,,,,,,,,,19990630,,
32887,肋骨骨折固定術,150017450,J001-03,,7909,,,,,,,,,,,,,,,,,,,,,,20030401,,
35769,重度褥瘡処置（１００ｃｍ２未満）,140048610,J001-04,,8622,,,,,,,,,,,,,,,,,,,,,,20080331,,
35770,重度褥瘡処置（１００ｃｍ２以上５００ｃｍ２未満）,140048710,J001-04,,8622,,,,,,,,,,,,,,,,,,,,,,20080331,,
35771,重度褥瘡処置（５００ｃｍ２以上３０００ｃｍ２未満）,140048810,J001-04,,8622,,,,,,,,,,,,,,,,,,,,,,20080331,,
35772,重度褥瘡処置（３０００ｃｍ２以上６０００ｃｍ２未満）,140048910,J001-04,,8622,,,,,,,,,,,,,,,,,,,,,,20080331,,
35773,重度褥瘡処置（６０００ｃｍ２以上）,140049010,J001-04,,8622,,,,,,,,,,,,,,,,,,,,,,20080331,,
35196,長期療養患者褥瘡等処置,140700110,J001-05,u,-,,,,,,,,,,,,,,,,,,,,,,20080331,,
35197,精神病棟等長期療養患者褥瘡等処置,140700310,J001-06,u,-,,,,,,,,,,,,,,,,,,,,,,20080331,,
33523,爪甲除去,140032750,J001-07,,8623,,,,,,,,,,,,,,,,,,,,,,19990630,,
35164,穿刺排膿後薬液注入,140032950,J001-08,,9929,,,,,,,,,,,,,,,,,,,,,,20060401,,
35166,空洞切開術後ヨードホルムガーゼ処置,140033550,J001-09,,9999,,,,,,,,,,,,,,,,,,,,,,20060401,,
33916,ドレーン法（ドレナージ）（その他）,140032410,J002-00,,9999,,,,,,,,,,,,,,,,,,,,,,19990630,,
33917,ドレーン法（ドレナージ）（持続的吸引）,140032310,J002-00,,9999,,,,,,,,,,,,,,,,,,,,,,19990630,,
36270,局所陰圧閉鎖処置初回加算（１００ｃｍ２未満）,140052170,J003-00,u,-,,,,,,,,,,,,,,,,,,,,,,20100630,,
36271,局所陰圧閉鎖処置初回加算（１００ｃｍ２以上２００ｃｍ２未満）,140052270,J003-00,u,-,,,,,,,,,,,,,,,,,,,,,,20100630,,
36272,局所陰圧閉鎖処置初回加算（２００ｃｍ２以上）,140052370,J003-00,u,-,,,,,,,,,,,,,,,,,,,,,,20100630,,
30801,流注膿瘍穿刺,140002510,J004-00,,3491,,,,,,,,,,,,,,,,,,,,,,19990630,,
33935,脳室穿刺（処置）,140002610,J005-00,,0109,,,,,,,,,,,,,,,,,,,,,,20100630,,
30002,後頭下穿刺（処置）,140002810,J006-00,,0109,,,,,,,,,,,,,,,,,,,,,,20100630,,
30052,胸椎穿刺,140033850,J007-00,,0331,,,,,,,,,,,,,,,,,,,,,,19990630,,
30053,頸椎穿刺,140033950,J007-00,,0331,,,,,,,,,,,,,,,,,,,,,,19990630,,
30054,腰椎穿刺,140003010,J007-00,,0331,,,,,,,,,,,,,,,,,,,,,,19990630,,
30800,胸腔試験穿刺,140003350,J008-00,,3491,,,,,,,,,,,,,,,,,,,,,,19990630,,
33971,胸腔穿刺（洗浄、注入及び排液を含む）,140003210,J008-00,,3491,,,,,,,,,,,,,,,,,,,,,,20080331,,
31992,腹腔穿刺（人工気腹、洗浄、注入及び排液を含む）,140003610,J010-00,,5491,,,,,,,,,,,,,,,,,,,,,,20080331,,
35134,経皮的肝膿瘍等穿刺術,140003750,J010-02,,5091,,,,,,,,,,,,,,,,,,,,,,20060401,,
31208,骨髄穿刺（その他）（処置）,140027510,J011-00,,4131,,,,,,,,,,,,,,,,,,,,,,20100630,,
31209,骨髄穿刺（胸骨）（処置）,140027410,J011-00,,4131,,,,,,,,,,,,,,,,,,,,,,20100630,,
32030,水腎症穿刺（処置）,140027810,J012-00,,5592,,,,,,,,,,,,,,,,,,,,,,20100630,,
34031,腎嚢胞穿刺（処置）,140027610,J012-00,,5592,,,,,,,,,,,,,,,,,,,,,,20100630,,
32393,ダグラス窩穿刺（処置）,140028010,J013-00,,700,,,,,,,,,,,,,,,,,,,,,,20100630,,
33511,乳腺穿刺,140028110,J014-00,,8591,,,,,,,,,,,,,,,,,,,,,,19990630,,
30207,甲状腺穿刺,140028210,J015-00,,0601,,,,,,,,,,,,,,,,,,,,,,19990630,,
34532,リンパ節等穿刺,140028310,J016-00,u,-,,,,,,,,,,,,,,,,,,,,,,19990630,,
35163,エタノール局所注入（甲状腺に対する）,140032510,J017-00,,0698,,,,,,,,,,,,,,,,,,,,,,20100630,,
35191,エタノール局所注入（副甲状腺に対する）,140048150,J017-00,,0699,,,,,,,,,,,,,,,,,,,,,,20060401,,
36144,エタノール局所注入,140050910,J017-00,,9929,,,,,,,,,,,,,,,,,,,,,,20080831,,
35775,リンパ管腫局所注入,140049210,J017-02,,409,,,,,,,,,,,,,,,,,,,,,,20060401,,
33834,喀痰吸引,140003810,J018-00,,9656,,,,,,,,,,,,,,,,,,,,,,19990630,,
35135,内視鏡下気管支分泌物吸引,140004050,J018-02,,9656,,,,,,,,,,,,,,,,,,,,,,20060401,,
35156,干渉低周波去痰器による喀痰排出,140026950,J018-03,,9656,,,,,,,,,,,,,,,,,,,,,,20060401,,
30766,持続的胸腔ドレナージ,140004110,J019-00,,3404,,,,,,,,,,,,,,,,,,,,,,20100630,,
33818,胃持続ドレナージ,140004310,J020-00,,9634,,,,,,,,,,,,,,,,,,,,,,20100630,,
31991,持続的腹腔ドレナージ,140004510,J021-00,,5491,,,,,,,,,,,,,,,,,,,,,,20100630,,
33821,洗腸,140037610,J022-00,,9639,,,,,,,,,,,,,,,,,,,,,,19990630,,
34164,高圧浣腸,140037510,J022-00,,9639,,,,,,,,,,,,,,,,,,,,,,19990630,,
34165,高位浣腸,140004810,J022-00,,9643,,,,,,,,,,,,,,,,,,,,,,19990630,,
33820,摘便,140037710,J022-02,,9638,,,,,,,,,,,,,,,,,,,,,,19990630,,
33862,腰椎麻酔下直腸内異物除去,140005050,J022-03,,9805,,,,,,,,,,,,,,,,,,,,,,20020401,,
35136,腸内ガス排気処置（開腹手術後）,140005150,J022-04,,9609,,,,,,,,,,,,,,,,,,,,,,20060401,,
33808,気管支カテーテル薬液注入法,140005410,J023-00,,9605,,,,,,,,,,,,,,,,,,,,,,19990630,,
33798,酸素吸入,140005610,J024-00,,9399,,,,,,,,,,,,,,,,,,,,,,19990630,,
33791,突発性難聴に対する酸素療法,140005750,J024-02,,9396,,,,,,,,,,,,,,,,,,,,,,19990630,,
33793,酸素テント,140005810,J025-00,,9398,,,,,,,,,,,,,,,,,,,,,,19990630,,
33765,間歇的陽圧吸入法,140005910,J026-00,,9391,,,,,,,,,,,,,,,,,,,,,,19990630,,
33802,鼻マスク式補助換気法,140037810,J026-02,,9399,,,,,,,,,,,,,,,,,,,,,,19990630,,
33800,体外式陰圧人工呼吸器治療,140006050,J026-03,,9399,,,,,,,,,,,,,,,,,,,,,,19990630,,
33784,高気圧酸素治療（２絶対気圧以上の治療圧力が１時間未満）,140006450,J027-00,,9395,,,,,,,,,,,,,,,,,,,,,,19990630,,
33785,高気圧酸素治療（救急的・１人用）,140006110,J027-00,,9395,,,,,,,,,,,,,,,,,,,,,,19990630,,
33786,高気圧酸素治療（救急的・多人数用）,140006210,J027-00,,9395,,,,,,,,,,,,,,,,,,,,,,19990630,,
33787,高気圧酸素治療（非救急的）,140006310,J027-00,,9395,,,,,,,,,,,,,,,,,,,,,,19990630,,
34533,インキュベーター,140028410,J028-00,u,-,,,,,,,,,,,,,,,,,,,,,,19990630,,
33794,オキシゲンエアーロック（インキュベーター代用）,140030150,J029-00,,9399,,,,,,,,,,,,,,,,,,,,,,19990630,,
33795,オキシゲンエアーロック（呼吸不能児の蘇生）,140030050,J029-00,,9399,,,,,,,,,,,,,,,,,,,,,,19990630,,
33801,鉄の肺,140028510,J029-00,,9399,,,,,,,,,,,,,,,,,,,,,,19990630,,
33792,減圧タンク療法,140030250,J029-02,,9397,,,,,,,,,,,,,,,,,,,,,,19990630,,
31306,食道ブジー法,140006510,J030-00,,4292,,,,,,,,,,,,,,,,,,,,,,19990630,,
33813,直腸ブジー法,140006610,J031-00,,9622,,,,,,,,,,,,,,,,,,,,,,19990630,,
34162,肛門拡張法,140006710,J032-00,,9623,,,,,,,,,,,,,,,,,,,,,,20080331,,
33810,イレウス用ロングチューブ挿入法,140007010,J034-00,,9608,,,,,,,,,,,,,,,,,,,,,,20080331,,
33815,非還納性ヘルニア徒手整復法,140007510,J036-00,,9627,,,,,,,,,,,,,,,,,,,,,,19990630,,
35778,新生児加算（非還納性ヘルニア徒手整復法）,140049570,J036-00,u,-,,,,,,,,,,,,,,,,,,,,,,20060401,,
31750,痔核嵌頓整復法（脱肛を含む）,140007610,J037-00,,4941,,,,,,,,,,,,,,,,,,,,,,20080331,,
31170,人工腎臓（慢性維持透析）（４時間未満）,140036710,J038-00,,3995,,,,,,,,,,,,,,,,,,,,,,20080331,,
31173,人工腎臓（その他）,140007710,J038-00,,3995,,,,,,,,,,,,,,,,,,,,,,20080331,,
34527,夜間、休日加算,140007910,J038-00,u,-,,,,,,,,,,,,,,,,,,,,,,20020401,,
34528,人工腎臓（導入期）加算,140008170,J038-00,u,-,,,,,,,,,,,,,,,,,,,,,,19990630,,
36145,人工腎臓（慢性維持透析）（４時間以上５時間未満）,140051010,J038-00,,3995,,,,,,,,,,,,,,,,,,,,,,20080331,,
36146,人工腎臓（慢性維持透析）（５時間以上）,140051110,J038-00,,3995,,,,,,,,,,,,,,,,,,,,,,20080331,,
35157,持続緩徐式血液濾過,140029850,J038-02,,3995,,,,,,,,,,,,,,,,,,,,,,20060401,,
34169,血漿交換療法,140008210,J039-00,,9971,,,,,,,,,,,,,,,,,,,,,,19990630,,
31175,局所灌流（悪性腫瘍）,140008310,J040-00,,3997,,,,,1.0,4.0,31788.0,32031.0,31672.0,31671.0,,,,,,,,,,,,19990630,,
31176,局所灌流（骨膜・骨髄炎）,140038110,J040-00,,3997,,,,,,,,,,,,,,,,,,,,,,19990630,,
31166,エンドトキシン選択除去用吸着式血液浄化法,140037250,J041-00,,3995,,,,,,,,,,,,,,,,,,,,,,19990630,,
31167,吸着式血液浄化法,140008410,J041-00,,3995,,,,,,,,,,,,,,,,,,,,,,19990630,,
34798,血球成分除去療法,140039210,J041-02,,9902,,,,,,,,,,,,,,,,,,,,,,20020228,,
31994,腹膜灌流（その他）,140008810,J042-00,,5498,,,,,,,,,,,,,,,,,,,,,,19990630,,
31995,連続携行式腹膜灌流,140008510,J042-00,,5498,,,,,,,,,,,,,,,,,,,,,,19990630,,
34530,腹膜灌流導入期加算,140008770,J042-00,u,-,,,,,,,,,,,,,,,,,,,,,,19990630,,
33912,光線療法（新生児高ビリルビン血症）,140028610,J043-00,,9983,,,,,,,,,,,,,,,,,,,,,,19990630,,
31064,瀉血療法,140038210,J043-02,,3899,,,,,,,,,,,,,,,,,,,,,,19990630,,
34541,ストーマ処置１,140038310,J043-03,u,-,,,,,,,,,,,,,,,,,,,,,,19990630,,
34542,ストーマ処置２,140038410,J043-03,u,-,,,,,,,,,,,,,,,,,,,,,,19990630,,
36148,尿路ストーマカテーテル交換法,140051310,J043-05,p,5699,5799.0,,,,,,,,,,,,,,,,,,,,,20080331,,
33806,救命のための気管内挿管,140009010,J044-00,,9604,,,,,,,,,,,,,,,,,,,,,,19990630,,
33907,食道ペーシング法,140009250,J044-02,,9969,,,,,,,,,,,,,,,,,,,,,,20100630,,
33908,体表面ペーシング法,140009150,J044-02,,9969,,,,,,,,,,,,,,,,,,,,,,20100630,,
33763,ＣＰＡＰ,140010050,J045-00,,9390,,,,,,,,,,,,,,,,,,,,,,19990630,,
33764,ＣＰＡＰ（５時間超）,140024250,J045-00,,9390,,,,,,,,,,,,,,,,,,,,,,19990630,,
33766,人工呼吸,140009310,J045-00,,9393,,,,,,,,,,,,,,,,,,,,,,19990630,,
33777,人工呼吸（５時間超）,140023510,J045-00,,9393,,,,,,,,,,,,,,,,,,,,,,19990630,,
33782,無水アルコール吸入療法,140009450,J045-00,,9394,,,,,,,,,,,,,,,,,,,,,,19990630,,
33783,無水アルコール吸入療法（５時間超）,140023650,J045-00,,9394,,,,,,,,,,,,,,,,,,,,,,19990630,,
33788,酸素加圧（気管内挿管下に閉鎖循環式麻酔器）,140009950,J045-00,,9395,,,,,,,,,,,,,,,,,,,,,,19990630,,
33789,酸素加圧（気管内挿管下に閉鎖循環式麻酔器）（５時間超）,140024150,J045-00,,9395,,,,,,,,,,,,,,,,,,,,,,19990630,,
33790,酸素吸入（マイクロアダプター）,140009650,J045-00,,9396,,,,,,,,,,,,,,,,,,,,,,19990630,,
33796,レスピラトール療法,140009850,J045-00,,9399,,,,,,,,,,,,,,,,,,,,,,19990630,,
33797,レスピラトール療法（５時間超）,140024050,J045-00,,9399,,,,,,,,,,,,,,,,,,,,,,19990630,,
33799,酸素吸入（マイクロアダプター）（５時間超）,140023850,J045-00,,9399,,,,,,,,,,,,,,,,,,,,,,19990630,,
33838,人工呼吸（半閉鎖式循環麻酔器）,140009750,J045-00,,9670,,,,,,,,,,,,,,,,,,,,,,19990630,,
33839,人工呼吸（半閉鎖式循環麻酔器）（５時間超）,140023950,J045-00,,9670,,,,,,,,,,,,,,,,,,,,,,19990630,,
33840,人工呼吸（閉鎖循環式麻酔装置）,140009550,J045-00,,9670,,,,,,,,,,,,,,,,,,,,,,19990630,,
33841,人工呼吸（閉鎖循環式麻酔装置）（５時間超）,140023750,J045-00,,9670,,,,,,,,,,,,,,,,,,,,,,19990630,,
33842,ＩＭＶ,140010150,J045-00,,9671,,,,,,,,,,,,,,,,,,,,,,19990630,,
34170,ＩＭＶ（５時間超）,140024350,J045-00,u,-,,,,,1.0,2.0,33843.0,33844.0,,,,,,,,,,,,,,19990630,,
34845,人工呼吸（鼻マスク式人工呼吸器）,140039550,J045-00,,9399,,,,,,,,,,,,,,,,,,,,,,20020228,,
34846,人工呼吸（鼻マスク式人工呼吸器）（５時間超）,140039650,J045-00,,9399,,,,,,,,,,,,,,,,,,,,,,20020228,,
34870,閉鎖循環式麻酔器使用気管内挿管下酸素吸入,140039850,J045-00,,9396,,,,,,,,,,,,,,,,,,,,,,20020228,,
34871,閉鎖循環式麻酔器使用気管内挿管下酸素吸入（５時間超）,140039950,J045-00,,9396,,,,,,,,,,,,,,,,,,,,,,20020228,,
33906,非開胸的心マッサージ,140010210,J046-00,,9963,,,,,,,,,,,,,,,,,,,,,,19990630,,
33904,カウンターショック（その他）,140010310,J047-00,,9962,,,,,,,,,,,,,,,,,,,,,,20080331,,
36149,カウンターショック（非医療従事者向け自動除細動器を用いた場合）,140051410,J047-00,,9962,,,,,,,,,,,,,,,,,,,,,,20080331,,
33972,心膜穿刺,140010510,J048-00,,370,,,,,,,,,,,,,,,,,,,,,,19990630,,
31244,食道圧迫止血チューブ挿入法,140010610,J049-00,,4239,,,,,,,,,,,,,,,,,,,,,,19990630,,
33805,気管内洗浄（新たに気管内挿管）,140010930,J050-00,p,9604,9656.0,,,,,,,,,,,,,,,,,,,,,19990630,,
33832,気管内洗浄,140010710,J050-00,,9656,,,,,,,,,,,,,,,,,,,,,,19990630,,
33833,気管内洗浄（気管支ファイバースコピー使用）,140011050,J050-00,,9656,,,,,,,,,,,,,,,,,,,,,,19990630,,
34163,胃洗浄,140011110,J051-00,,9633,,,,,,,,,,,,,,,,,,,,,,19990630,,
33757,ショックパンツ,140011210,J052-00,,9358,,,,,,,,,,,,,,,,,,,,,,19990630,,
33758,ショックパンツ（２日目以降）,140011310,J052-00,,9358,,,,,,,,,,,,,,,,,,,,,,19990630,,
33700,熱傷温浴療法,140038510,J052-02,,9335,,,,,,,,,,,,,,,,,,,,,,19990630,,
33929,皮膚科軟膏処置（１００ｃｍ２以上５００ｃｍ２未満）,140011610,J053-00,,9999,,,,,,,,,,,,,,,,,,,,,,20080331,,
33930,皮膚科軟膏処置（５００ｃｍ２以上３０００ｃｍ２未満）,140011710,J053-00,,9999,,,,,,,,,,,,,,,,,,,,,,20080331,,
33931,皮膚科軟膏処置（３０００ｃｍ２以上６０００ｃｍ２未満）,140011810,J053-00,,9999,,,,,,,,,,,,,,,,,,,,,,20080331,,
33932,皮膚科軟膏処置（６０００ｃｍ２以上）,140011910,J053-00,,9999,,,,,,,,,,,,,,,,,,,,,,20080331,,
33911,皮膚科光線療法（長波・中波紫外線、２９０ｎｍ以上３１５ｎｍ以下）,140029010,J054-00,,9982,,,,,,,,,,,,,,,,,,,,,,20080331,,
34473,皮膚科光線療法（赤外線又は紫外線）,140028810,J054-00,u,-,,,,,1.0,2.0,33910.0,33913.0,,,,,,,,,,,,,,19990630,,
36150,皮膚科光線療法（中波紫外線、３０８ｎｍ以上３１３ｎｍ以下）,140051510,J054-00,,9982,,,,,,,,,,,,,,,,,,,,,,20080331,,
33536,皮膚レーザー照射療法（色素レーザー照射療法）,150275410,J054-02,,863,,,,,,,,,,,,,,,,,,,,,,20020228,,
35045,皮膚レーザー照射療法（乳幼児）加算,140040270,J054-02,u,-,,,,,,,,,,,,,,,,,,,,,,20020401,,
35138,いぼ焼灼法（４箇所以上）,140012110,J055-00,,863,,,,,,,,,,,,,,,,,,,,,,20060401,,
36132,いぼ焼灼法（３箇所以下）,140012010,J055-00,,863,,,,,,,,,,,,,,,,,,,,,,20060401,,
35139,イオントフォレーゼ,140012250,J055-02,,9927,,,,,,,,,,,,,,,,,,,,,,20060401,,
31925,臍肉芽腫切除術,140012350,J055-03,,543,,,,,,,,,,,,,,,,,,,,,,19990630,,
35141,いぼ冷凍凝固法（４箇所以上）,140012510,J056-00,,863,,,,,,,,,,,,,,,,,,,,,,20060401,,
36133,いぼ冷凍凝固法（３箇所以下）,140012410,J056-00,,863,,,,,,,,,,,,,,,,,,,,,,20060401,,
35165,伝染性軟属腫の内容除去（１０箇所未満）,140033150,J057-00,,8604,,,,,,,,,,,,,,,,,,,,,,20060401,,
35184,軟属腫摘除（１０箇所未満）,140036910,J057-00,,863,,,,,,,,,,,,,,,,,,,,,,20100630,,
35779,軟属腫摘除（１０箇所以上３０箇所未満）,140049610,J057-00,,863,,,,,,,,,,,,,,,,,,,,,,20100630,,
35780,軟属腫摘除（３０箇所以上）,140049710,J057-00,,863,,,,,,,,,,,,,,,,,,,,,,20100630,,
35790,伝染性軟属腫の内容除去（１０箇所以上３０箇所未満）,140050750,J057-00,,863,,,,,,,,,,,,,,,,,,,,,,20060401,,
35791,伝染性軟属腫の内容除去（３０箇所以上）,140050850,J057-00,,863,,,,,,,,,,,,,,,,,,,,,,20060401,,
33516,面皰圧出法,140038610,J057-02,,8609,,,,,,,,,,,,,,,,,,,,,,19990630,,
33540,鶏眼・胼胝処置,140038710,J057-03,,863,,,,,,,,,,,,,,,,,,,,,,19990630,,
34036,膀胱穿刺,140012610,J058-00,,5718,,,,,1.0,1.0,34035.0,,,,,,,,,,,,,,,19990630,,
32179,陰嚢水腫穿刺,140012710,J059-00,,6191,,,,,,,,,,,,,,,,,,,,,,19990630,,
35142,血腫穿刺,140012850,J059-02,,0124,,,,,,,,,,,,,,,,,,,,,,20060401,,
35143,膿腫穿刺,140012950,J059-02,,0124,,,,,,,,,,,,,,,,,,,,,,20060401,,
33822,膀胱洗浄及び膀胱内薬液注入（カテーテル留置）,140013350,J060-00,,9648,,,,,,,,,,,,,,,,,,,,,,19990630,,
34167,膀胱洗浄,140013110,J060-00,,9649,,,,,,,,,,,,,,,,,,,,,,19990630,,
33823,後部尿道洗浄（ウルツマン）,140013250,J060-02,,9649,,,,,,,,,,,,,,,,,,,,,,19990630,,
33825,腎盂洗浄（片）,140013410,J061-00,,9649,,,,,,,,,,,,,,,,,,,,,,19990630,,
32142,腎盂内注入（尿管カテーテル法を含む）,140013610,J062-00,,598,,,,,,,,,,,,,,,,,,,,,,20020401,,
32097,留置カテーテル設置,140013810,J063-00,,5794,,,,,,,,,,,,,,,,,,,,,,19990630,,
32100,留置中のカテーテル交換,140013950,J063-00,,5795,,,,,,,,,,,,,,,,,,,,,,19990630,,
32131,導尿（尿道拡張）,140014010,J064-00,,586,,,,,,,,,,,,,,,,,,,,,,19990630,,
33919,間歇的導尿,140037110,J065-00,,9999,,,,,,,,,,,,,,,,,,,,,,19990630,,
32132,尿道拡張法,140014210,J066-00,,586,,,,,,,,,,,,,,,,,,,,,,19990630,,
35158,タイダール自動膀胱洗浄,140029950,J066-02,u,-,,,,,,,,,,,,,,,,,,,,,,20060401,,
32133,誘導ブジー法,140014410,J067-00,,586,,,,,,,,,,,,,,,,,,,,,,19990630,,
32212,嵌頓包茎整復法,140014510,J068-00,,6491,,,,,,,,,,,,,,,,,,,,,,19990630,,
32213,小児仮性包茎剥離術,140039050,J068-00,,6493,,,,,,,,,,,,,,,,,,,,,,19990630,,
33914,前立腺液圧出法,140014810,J069-00,,9994,,,,,,,,,,,,,,,,,,,,,,19990630,,
33915,前立腺冷温榻,140014910,J070-00,,9994,,,,,,,,,,,,,,,,,,,,,,19990630,,
